"var_name","Indicator","Description","Source","family",,,,,,,,,,,,,,
,"Freedom in the world: political rights ","Political rights include the right to vote freely for distinct alternatives in legitimate elections, compete for public office, join political parties and organizations, and elect representatives who have a decisive impact on public policies and are accountable to the electorate. Countries are graded between 1 (most free) and 7 (least free).","Freedom House, V-Dem","Political Institutions",,,,,,,,,,,,,,
,"Freedom in the world: civil liberties","Civil liberties allow for the freedoms of expression and belief, associational and organizational rights, rule of law, and personal autonomy without interference from the state. Countries are graded between 1 (most free) and 7 (least free).","Freedom House, V-Dem","Political Institutions",,,,,,,,,,,,,,
,"Institutionalized democracy – institutionalized autocracy","The Autocracy indicator and the Democracy indicator range between 0 and 10. Autocracy is defined operationally in terms of the presence of a distinctive set of political characteristics: restriction or suppression of competitive political participation; chief executives chosen in a regularized process of selection within the political elite; few institutional constraints on the executive. The Democracy indicator is derived from codings of the competitiveness of political participation (PARCOMP), the openness and competitiveness of executive recruitment (XROPEN and XRCOMP), and constraints on the chief executive (XCONST).","Polity IV, V-Dem","Political Institutions",,,,,,,,,,,,,,
,"Political power distributed by socio-economic position","0 represent countries where wealthy people enjoy a virtual monopoly on political power and average and poorer people have almost no influence and 4 represents countries where wealthy people have no more political power than those whose economic status is average or poor and political power is more or less equally distributed across economic groups.","V-Dem, Variety of Democracy database","Political Institutions",,,,,,,,,,,,,,
,"Political power distributed by social group","Social group is differentiated within a country by caste, ethnicity, language, race, region, religion, or some combination thereof. (It does not include identities grounded in sexual orientation or socioeconomic status.). 0 represents countries where political power is monopolized by one social group comprising a minority of the population, and 4 represents countries where all social groups have roughly equal political power or there are no strong ethnic, caste, linguistic, racial, religious, or regional differences to speak of.","V-Dem, Variety of Democracy database","Political Institutions",,,,,,,,,,,,,,
,"Political power distributed by gender","0 represents countries where men have a near-monopoly on political power and 4 represents countries where men and women have roughly equal political power.","V-Dem, Variety of Democracy database","Political Institutions",,,,,,,,,,,,,,
,"Lower chamber gender quota","0 represents countries with no national level gender quota and 4 represents countries where there are reserved seats in the legislature for women.","V-Dem, Variety of Democracy database","Political Institutions",,,,,,,,,,,,,,
,"Lower chamber female legislator","Share of female representatives in the lower (or unicameral) chamber of the legislature.","V-Dem, Variety of Democracy database","Political Institutions",,,,,,,,,,,,,,
,"Order and Security","Crime is effectively controlled"," Civil conflict is effectively limited"," People do not resort to violence to redress personal grievances.","World Justice Project, Rule of Law","Political Institutions",,,,,,,,,,,,
,"Fundamental Rights","Equal treatment & absence of discrimination"," The right to life & security of the person is effectively guaranteed"," Due process of the law and rights of the accused"," Freedom of opinion & expression is effectively guaranteed"," Freedom of belief & religion is effectively guaranteed"," Freedom from arbitrary interference with privacy is effectively guaranteed"," Freedom of assembly & association is effectively guaranteed"," Fundamental labor rights are effectively guaranteed.","World Justice Project, Rule of Law","Political Institutions",,,,,,,
,"Constraints on Government Powers","Government powers are effectively limited by the legislature"," Government powers are effectively limited by the judiciary"," Government powers are effectively limited by independent auditing and review"," Government officials are sanctioned for misconduct"," Government powers are subject to non-governmental checks"," Transition of power is subject to the law.","World Justice Project, Rule of Law","Political Institutions",,,,,,,,,
,"EFW index: integrity of the legal system","It assesses the strength and impartiality of the legal system, and the popular observance of the law (based on the International Country Risk Guide Political Risk Component I for Law and Order).","Fraser Institute","Legal Institutions",,,,,,,,,,,,,,
,"Judicial independence","In your country, how independent is the judicial system from influences of the government, individuals, or companies?","World Economic Forum, Global Competitiveness Report","Legal Institutions",,,,,,,,,,,,,,
,"Efficiency of legal framework in settling disputes","In your country, how efficient are the legal and judicial systems for companies in settling disputes?","World Economic Forum, Global Competitiveness Index","Legal Institutions",,,,,,,,,,,,,,
,"Efficiency of legal framework in challenging regulations","In your country, how easy is it for private businesses to challenge government actions and/or regulations through the legal system?","World Economic Forum, Global Competitiveness Index","Legal Institutions",,,,,,,,,,,,,,
,"Judicial accountability","0 represents countries where judges found responsible for serious misconduct, are never removed from their posts or otherwise disciplined; 4 represents countries where judges found responsible for serious misconduct, are always removed from their posts or otherwise disciplined.","V-Dem, Variety of Democracy database","Legal Institutions",,,,,,,,,,,,,,
,"Civil Justice","People can access & afford civil justice; Civil justice is free of discrimination; Civil justice is free of corruption; Civil justice is free of improper government influence; Civil justice is not subject to unreasonable delay; Civil justice is effectively enforced; Alternative dispute resolution mechanisms are accessible, impartial, and effective.","World Justice Project, Rule of Law","Legal Institutions",,,,,,,,,,,,,,
,"Criminal Justice","Criminal investigation system is effective"," Criminal adjudication system is timely and effective"," Correctional system is effective in reducing criminal behavior"," Criminal justice system is impartial"," Criminal justice system is free of corruption"," Criminal justice system is free of improper government influence"," Due process of the law & rights of the accused.","World Justice Project, Rule of Law","Legal Institutions",,,,,,,,
,"Resolving insolvencies","It captures the time, cost and outcome of insolvency proceedings involving domestic legal entities.","Doing Business","Legal Institutions",,,,,,,,,,,,,,
,"Enforcing contracts","The enforcing contracts indicator measures the time and cost for resolving a commercial dispute through a local first-instance court, and the quality of judicial processes index, evaluating whether each economy has adopted a series of good practices that promote quality and efficiency in the court system.","Doing Business","Legal Institutions",,,,,,,,,,,,,,
,"Firms: Courts as major constraint","Share of firms identifying the court system as a major constraint.","Enterprise survey","Legal Institutions",,,,,,,,,,,,,,
,"Corruption perceptions index","The CPI Score relates to perceptions of the degree of corruption as seen by business people, risk analysts and the general public and ranges between 100 (highly clean) and 0 (highly corrupt).","Transparency international, Global Corruption Barometer","Accountability institutions",,,,,,,,,,,,,,
,"Absence of corruption","Government officials in the executive branch do not use public office for private gain"," Government officials in the judicial branch do not use public office for private gain"," Government officials in the police & the military do not use public office for private gain"," Government officials in the legislative branch do not use public office for private gain.","World Justice Project, Rule of Law","Accountability institutions",,,,,,,,,,,
,"Open government","Publicized laws & government data"," Right to information"," Civic participation"," Complaint mechanisms.","World Justice Project, Rule of Law","Accountability institutions",,,,,,,,,,,
,"Favoritism in decisions of government officials","In your country, to what extent do government officials show favoritism to well-connected firms and individuals when deciding upon policies and contracts? [1 = show favoritism to a great extent; 7 = do not show favoritism at all]","WEF, Global Competitiveness Index","Accountability institutions",,,,,,,,,,,,,,
,"Irregular payments and bribes","In your country, how common is it for firms to make undocumented extra payments or bribes connected with (a) imports and exports; (b) public utilities; (c) annual tax payments; (d) awarding of public contracts and licenses; (e) obtaining favorable judicial decisions? [1 = very common; 7 = never occurs].","WEF, Global Competitiveness Index","Accountability institutions",,,,,,,,,,,,,,
,"Diversion of public funds","In your country, how common is diversion of public funds to companies, individuals, or groups due to corruption? [1 = very commonly occurs; 7 = never occurs]","WEF, Global Competitiveness Index","Accountability institutions",,,,,,,,,,,,,,
,"Transparency of government policymaking","In your country, how easy is it for businesses to obtain information about changes in government policies and regulations affecting their activities?  [1 = extremely difficult; 7 = extremely easy]","WEF, Global Competitiveness Index","Accountability institutions",,,,,,,,,,,,,,
