api_id,EFI vs Manual,EFI_Indicator_ID,CLIAR_ID,var_api,Indicator,variable,var_level,family_var,family_name,Status,Included in new version,Benchmarked CTF,new_family_name,reason for change,data_source,processing,description,To Invert,source,data_EFI_ID,version,FLAGGED,Check Source Result
41794,EFI,WJP.ROL.2,WJP_ROL_2,Absence of Corruption (WJP Rule of Law Index),Absence of Corruption,f2_corruption,indicator,vars_transp,"Anticorruption, transparency and accountability ",Maintained,Yes,Yes,Anticorruption Institutions,restructuring of institutional families,API,,It is an index of 4 items: Government officials in the executive branch do not use public office for private gain; Government officials in the judicial branch do not use public office for private gain; Government officials in the police & the military do not use public office for private gain; Government officials in the legislative branch do not use public office for private gain.,,"World Justice Project, Rule of Law",WJP.ROL,GBID 1.0,,
,Manual,,VDEM_CORE_v2xcl_acjst,Access to justice,Access to justice,,indicator,,Justice ,New addition,Yes,No,Justice Institutions,,,,Do citizens enjoy secure and effective access to justice? Estimate the index by averaging two indicators: access to justice for men (v2clacjstm) and women (v2clacjstw).,,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,VDEM_CORE_v2clacjstm,Access to justice for men,Access to justice for men,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,"Question: Do men enjoy secure and effective access to justice? Clarification: This question specifies the extent to which men can bring cases before the courts without risk to their personal safety, trials are fair, and men have effective ability to seek redress if public authorities violate their rights, including the rights to counsel, defense, and appeal. This question does not ask you to assess the relative access to justice men and women. Thus, it is possible to assign the lowest possible score to a country even if men and women enjoy equal — and extremely limited — access to justice.
Responses:
0: Secure and effective access to justice for men is non-existent.
1: Secure and effective access to justice for men is usually not established or widely respected.
2: Secure and effective access to justice for men is inconsistently observed. Minor problems
characterize most cases or occur rather unevenly across different parts of the country.
3: Secure and effective access to justice for men is usually observed.
4: Secure and effective access to justice for men is almost always observed.",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,VDEM_CORE_v2clacjstw,Access to justice for women,Access to justice for women,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,"Do women enjoy equal, secure and effective access to justice? This question specifies the extent to which women can bring cases before the courts without risk to their personal safety, trials are fair, and women have effective ability to seek redress if public authorities violate their rights, including the rights to counsel, defense, and appeal. This question does not ask you to assess the relative access to justice men and women. Thus, it is possible to assign the lowest possible score to a country even if men and women enjoy equal — and extremely limited — access to justice. Responses:
0: Secure and effective access to justice for women is non-existent.
1: Secure and effective access to justice for women is usually not established or widely respected.
2: Secure and effective access to justice for women is inconsistently observed. Minor problems
characterize most cases or occur rather unevenly across different parts of the country.
3: Secure and effective access to justice for women is usually observed.
4: Secure and effective access to justice for women is almost always observed.",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,VDEM_CORE_v2peapsgen,Access to public services distributed by gender,Access to public services distributed by gender,v2peapsgen,indicator,,,New addition,Yes,Yes,Service Delivery Institutions,,,,"Question: Is access to basic public services, such as order and security, primary education, clean water, and healthcare, distributed equally according to gender? This question asks if gender is an important cleavage in society for the distribution of public services. Thus, if there are inequalities in access to public services, but these are not mainly due to differentiation between gender, the code should be “4” (equal). The situation could of course vary by type of public service, such that women are denied access to some basic
public services but not others. Please base your response on whether access to most of the aforementioned services are distributed equally or unequally.
Responses:
0: Extreme. Because of their gender, 75 percent (%) or more of women lack access to basic public services of good quality.
1: Unequal. Because of their gender, 25 percent (%) or more of women lack access to basic public services of good quality.
2: Somewhat Equal. Because of their gender, 10 to 25 percent (%) of women lack access to basic public services of good quality.
3: Relatively Equal. Because of their gender, 5 to 10 percent (%) of women lack access to basic public services of good quality.
4: Equal. Because of their gender, less than 5 percent (%) of women lack access to basic public services of good quality.",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,VDEM_CORE_v2peapspol,Access to public services distributed by political group,Access to public services distributed by political group,v2peapspol,indicator,,,New addition,Yes,Yes,Service Delivery Institutions,,,,"Question: Is access to basic public services, such as order and security, primary education, clean water, and healthcare, distributed equally across political groups? A political group is defined as those who are affiliated with a particular political party or candidate, or a group of parties/candidates. This question asks if political group is an important cleavage in society for the distribution of public services. Thus, if there are inequalities in access to public services, but these are not mainly due to differentiation between
particular political groups, the code should be “4” (equal). The situation could of course vary by type of public service, such that a political group is denied access to some basic public services but not others. Responses:
0: Extreme. Because of their political group affiliation 75 percent (%) or more of the population lack access to basic public services of good quality.
1: Unequal. Because of their political group affiliation 25 percent (%) or more of the population lack access to basic public services of good quality.
2: Somewhat Equal. Because of their political group affiliation 10 to 25 percent (%) of the population lack access to basic public services of good quality.
3: Relatively Equal. Because of their political group affiliation only 5 to 10 percent (%) of the population lack access to basic public services of good quality.
4: Equal. Because of their political group affiliation less than 5 percent (%) of the population lack access to basic public services of good quality.",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,VDEM_CORE_v2peapsecon,Access to public services distributed by socio-economic position,Access to public services distributed by socio-economic position,v2peapsecon,indicator,,,New addition,Yes,Yes,Service Delivery Institutions,,,,"Is access to basic public services, such as order and security, primary education, clean water, and healthcare, distributed equally according to socioeconomic position? This question asks if socio-economic position is an important cleavage in society for the distribution of public services. Thus, if there are inequalities in access to public services, but these are not mainly due to differentiation between particular socio-economic position, the code should be “4” (equal). The situation could of course vary by type of public service, such that a socio-economic group is denied access to some basic public services but not others. Responses:
0: Extreme. Because of poverty or low income, 75 percent (%) or more of the population lack access to basic public services of good quality.
1: Unequal. Because of poverty or low income, 25 percent (%) or more of the population lack access to basic public services of good quality.
2: Somewhat Equal. Because of poverty or low income, 10 to 25 percent (%) of the population lack access to basic public services of good quality.
3: Relatively Equal. Because of poverty or low income, 5 to 10 percent (%) of the population lack access to basic public services of good quality.
4: Equal. Because of poverty or low income, less",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,VDEM_CORE_v2peasjgen,"Access to state jobs, by gender",Access to state jobs by gender,v2peasjgen,indicator,,,New addition,Yes,Yes,Public Human Resource Management Institutions,,,,"Question: Are state jobs equally open to qualified individuals regardless of gender?
Responses:
0: Extreme. Because of their gender, 75 percent (%) or more of women, even if qualified, lack access to state jobs.
1: Unequal. Because of their gender, 25 percent (%) or more of women, even if qualified, lack access to state jobs.
2: Somewhat Equal. Because of their gender, 10 to 25 percent (%) of women, even if qualified, lack access to state jobs.
3: Relatively Equal. Because of their gender, 5 to 10 percent (%) of women, even if qualified, lack access to state jobs.
4: Equal. Because of their gender, less than 5 percent (%) of women, even if qualified, lack access to state jobs.",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,VDEM_CORE_v2peasjpol,"Access to state jobs, by political group",Access to state jobs by political group,v2peasjpol,indicator,,,New addition,Yes,Yes,Public Human Resource Management Institutions,,,,"Question: Are state jobs equally open to qualified individuals regardless of their association with a political group? A political group is defined as those who are affiliated with a particular political party or candidate, or a group of parties/candidates.
Responses: 0: Extreme. Because of their political group affiliation, 75 percent (%) or more of the population, even if qualified, lack access to state jobs.
1: Unequal. Because of their political group affiliation, 25 percent (%) or more of the population, even if qualified, lack access to state jobs.
2: Somewhat Equal. Because of their political group affiliation, 10 to 25 percent (%) of the population, even if qualified, lack access to state jobs.
3: Relatively Equal. Because of their political group affiliation, 5 to 10 percent (%) of the population, even if qualified, lack access to state jobs.
4: Equal. Because of their political group affiliation, less than 5 percent (%) of the
population, even if qualified, lack access to state jobs.",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,Manual,,VDEM_CORE_v2peasjsoecon,"Access to state jobs, by socio-economic position",Access to state jobs by socio-economic position,v2peasjsoecon,indicator,,,New addition,Yes,Yes,Public Human Resource Management Institutions,,,,"Question: Are state jobs equally open to qualified individuals regardless of socio-economic position? Socio-economic position defines groups based on attributes of wealth, occupation, or other economic circumstances such as owning property.
Responses: 0: Extreme. Because of poverty or low income, 75 percent (%) or more of the population, even if qualified, lack access to state jobs.
1: Unequal. Because of poverty or low income, makes 25 percent (%) or more of the population, even if qualified, lack access to state jobs.
2: Somewhat Equal. Because of poverty or low income, 10 to 25 percent (%) of the population, even if qualified, lack access to state jobs.
3: Relatively Equal. Because of poverty or low income, 5 to 10 percent (%) of the population, even if qualified, lack access to state jobs.
4: Equal. Because of poverty or low",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
,EFI,WB.PEFA.PI-2016-20,WB_PEFA_PI-2016-20,PEFA: PI-20 Accounting for revenues,Accounting for revenues,,indicator,,,New addition,Yes,Yes,Public Financial Management Institutions,,,,"The procedures for recording and reporting revenue collections, consolidating revenues collected, and reconciling tax revenue accounts. It covers both tax and nontax revenues collected by the central government.",,Public Expenditure Financial Accountability,WB.PEFA,,,
,Manual,,WDI_per_si_allsiadq_pop_tot,Adequacy of social insurance programs (% of total welfare of beneficiary households),Adequacy of social insurance programs (% of total welfare of beneficiary households),,,,,Removed,,?,Service Delivery Institutions,,,,"Adequacy of social insurance programs is measured by the total transfer amount received by the population participating in social insurance programs as a share of their total welfare. Welfare is defined as the total income or total expenditure of beneficiary households. Social insurance programs include old age contributory pensions (including survivors and disability) and social security and health insurance benefits (including occupational injury benefits, paid sick leave, maternity and other social insurance). Estimates include both direct and indirect beneficiaries.",,WDI,,,"this is a repeat from Aspire, we just need one indicator on adquacy and one on coverage",
